name,label
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,1
0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,1
0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,1
0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,1
0x561eac93c92360949ab1f1403323e6db345cbf31.sol,1
0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,1
0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,1
0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,1
0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,1
0x8c7777c45481dba411450c228cb692ac3d550344.sol,1
0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,1
0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,1
0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,1
0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,1
0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,1
0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,1
0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,1
0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,1
0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,1
0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,1
etherbank.sol,1
etherstore.sol,1
modifier_reentrancy.sol,1
reentrance.sol,1
reentrancy_bonus.sol,1
reentrancy_cross_function.sol,1
reentrancy_dao.sol,1
reentrancy_simple.sol,1
simple_dao.sol,1
spank_chain_payment.sol,1
BECToken.sol,0
insecure_transfer.sol,0
integer_overflow_1.sol,0
integer_overflow_add.sol,0
integer_overflow_benign_1.sol,0
integer_overflow_mapping_sym_1.sol,0
integer_overflow_minimal.sol,0
integer_overflow_mul.sol,0
integer_overflow_multitx_multifunc_feasible.sol,0
integer_overflow_multitx_onefunc_feasible.sol,0
overflow_simple_add.sol,0
overflow_single_tx.sol,0
timelock.sol,0
token.sol,0
tokensalechallenge.sol,0
blackjack.sol,0
etheraffle.sol,0
guess_the_random_number.sol,0
lottery.sol,0
lucky_doubler.sol,0
