name,label
3.sol,0
4.sol,0
1430.sol,0
1431.sol,0
2307.sol,0
2308.sol,0
3211.sol,0
3212.sol,0
3270.sol,0
4598.sol,0
4599.sol,0
4679.sol,0
4833.sol,0
5629.sol,1
4832.sol,1
6192.sol,0
6193.sol,0
6603.sol,0
6604.sol,0
6606.sol,1
14284.sol,1
16925.sol,1
17043.sol,1
18509.sol,1
22074.sol,1
22247.sol,1
22416.sol,1
6607.sol,0
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,1
0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,1
0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,1
BECToken.sol,0
insecure_transfer.sol,0
8342.sol,0
8872.sol,0
8873.sol,0
9654.sol,0
10604.sol,0
10605.sol,0
10970.sol,0
10971.sol,0
14353.sol,0
14354.sol,0
14620.sol,0
14806.sol,0
14993.sol,0
14994.sol,0
15553.sol,0
16054.sol,0
16057.sol,0
16058.sol,0
16643.sol,0
16884.sol,0
16926.sol,0
17009.sol,0
24161.sol,1
26523.sol,1
26742.sol,1
29089.sol,1
37707.sol,1
0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,1
0x561eac93c92360949ab1f1403323e6db345cbf31.sol,1
0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,1
integer_overflow_1.sol,0
integer_overflow_add.sol,0
17044.sol,0
17518.sol,0
17829.sol,0
17830.sol,0
18145.sol,0
18430.sol,0
18438.sol,0
18510.sol,0
18771.sol,0
19128.sol,0
19129.sol,0
19925.sol,0
21241.sol,0
21697.sol,0
21886.sol,0
22075.sol,0
22635.sol,0
22636.sol,0
23792.sol,0
23793.sol,0
39019.sol,1
39269.sol,1
39866.sol,1
40415.sol,1
40499.sol,1
40732.sol,1
40735.sol,1
0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,1
0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,1
0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,1
integer_overflow_benign_1.sol,0
integer_overflow_mapping_sym_1.sol,0
24196.sol,0
24369.sol,0
24648.sol,0
24649.sol,0
25808.sol,0
26188.sol,0
26743.sol,0
27121.sol,0
27159.sol,0
27164.sol,0
27263.sol,0
27327.sol,0
27334.sol,0
27603.sol,0
28974.sol,0
29090.sol,0
29130.sol,0
29154.sol,0
29590.sol,0
29948.sol,0
40742.sol,1
40745.sol,1
40746.sol,1
40747.sol,1
40748.sol,1
40749.sol,1
40753.sol,1
40754.sol,1
reentrancy_bonus.sol,1
reentrancy_cross_function.sol,1
reentrancy_dao.sol,1
integer_overflow_minimal.sol,0
integer_overflow_mul.sol,0
29983.sol,0
30046.sol,0
30101.sol,0
30102.sol,0
30254.sol,0
30255.sol,0
30337.sol,0
30338.sol,0
30460.sol,0
31237.sol,0
31238.sol,0
31497.sol,0
31565.sol,0
31759.sol,0
32522.sol,0
33450.sol,0
33512.sol,0
34432.sol,0
34526.sol,0
34668.sol,0
39778.sol,1
40755.sol,1
40756.sol,1
40757.sol,1
40758.sol,1
40761.sol,1
40762.sol,1
reentrancy_simple.sol,1
simple_dao.sol,1
spank_chain_payment.sol,1
lottery.sol,0
lucky_doubler.sol,0
34904.sol,0
35208.sol,0
35661.sol,0
35662.sol,0
35713.sol,0
35714.sol,0
35806.sol,0
35807.sol,0
35878.sol,0
35951.sol,0
36456.sol,0
36481.sol,0
36563.sol,0
36668.sol,0
36836.sol,0
37474.sol,0
37499.sol,0
37645.sol,0
37646.sol,0
37676.sol,0
40736.sol,1
40764.sol,1
40765.sol,1
40770.sol,1
40772.sol,1
40775.sol,1
0x8c7777c45481dba411450c228cb692ac3d550344.sol,1
0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,1
0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,1
integer_overflow_multitx_multifunc_feasible.sol,0
integer_overflow_multitx_onefunc_feasible.sol,0
